[2022-12-06 20:30:20,739][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:20,980][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:21,196][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:21,403][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:21,621][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:21,836][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:22,077][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:22,298][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:22,508][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:22,720][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:22,958][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:23,203][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:23,418][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:23,628][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:23,841][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:24,057][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:24,283][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:24,504][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:24,718][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:24,930][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:25,146][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:25,374][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:25,583][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:25,797][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:26,021][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:26,235][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:26,479][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:26,688][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:26,893][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:27,107][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 368]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:27,316][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 368]. Convert image to uint8 prior to saving to suppress this warning.
